[00:00,01:00)	1	0
[01:00,02:00)	2	0
[02:00,03:00) 	3	3
[03:00,04:00)	4	14
[04:00,05:00)	5	122
[05:00,06:00)	6	768
[06:00,07:00)	7	1661
[07:00,08:00)	8	2251
[08:00,09:00) 	9	2450
[09:00,10:00) 	10	2543
[10:00,11:00) 	11	2565
[11:00,12:00)	12	2529
[12:00,13:00)	13	2524
[13:00,14:00)	14	2556
[14:00,15:00)	15	2614
[15:00,16:00)	16	2699
[16:00,17:00)	17	2820
[17:00,18:00)	18	2830
[18:00,19:00)	19	2643
[19:00,20:00)	20	2182
[20:00,21:00)	21	1819
[21:00,22:00)	22	1625
[22:00,23:00)	23	1454
[23:00,24:00)	24	1256
[24:00,25:00)	25	1047
[25:00,26:00)	26	1047
[26:00,27:00)	27	569
[27:00,28:00)	28	214
[28:00,29:00)	29	183
[29:00,30:00)	29	180
[31:00,32:00)	30	118
[32:00,33:00)	30	14
